اره تره	non_verb	n. f.
اره چلول	regular_simple	v. dyn. comp. trans.
اره کش	non_verb	n. m.
اره کشي	non_verb	n. f.
اره کول	dynamic_compound	v. stat. comp. trans.
ارهټ	non_verb	n. m.
ارو مرو	regular_simple	adv.
اروا پوه	non_verb	n. m.
اروا پوهنه	non_verb	n. f.
اروا درملنه	non_verb	n. f.
اروا ښاد	non_verb	
اروایي	non_verb	adj.
اروپا	non_verb	n. f.
اروپایي	non_verb	adj.
اروته	non_verb	n. f.
اروېدل	stative_compound_standard	v. trans.
اریان	non_verb	adj.
اریاني	non_verb	n. f.
اریایي	non_verb	adj.
اریب	non_verb	adj.
اریځ	non_verb	n. f.
اریځه	non_verb	n. f.
اریځي	non_verb	adj.
اریک شریک	non_verb	n. m.
اړ	non_verb	adj.
اړ ایستل	non_verb	
اړ کول	dynamic_compound	v. stat. comp. trans.
اړ کېدل	stative_compound_special	v. stat. comp. intrans.
اړایي	non_verb	n. f.
اړتیا	non_verb	n. f.
اړخ	non_verb	n. m.
اړکېده	non_verb	n. m.
اړمن	non_verb	adj.
اړمن	non_verb	n. m.
اړنګ	non_verb	n. m.
اړنګ بړنګ	non_verb	adj. / n. m.
اړنګ نیونه	non_verb	n. f.
اړنګمن	non_verb	adj.
اړنګۍ	non_verb	n. f.
اړه	non_verb	n. f.
اړه تړه	non_verb	n. f.
اړو دوړ	non_verb	n. m.
اړوت	non_verb	n. m. anim. unisex / adj.
اړول	regular_simple	v. stat. comp. trans.
اړول	regular_simple	v. trans.
اړولی	non_verb	adj.
اړولي	non_verb	adj.
اړونج	non_verb	n. m.
اړوند	non_verb	adj.
اړې ګړې	non_verb	n. f. pl.
اړېدل	stative_compound_standard	v. stat. comp. intrans.
اړیکه	non_verb	n. f.
اړیکی	non_verb	n. m.
اړین	non_verb	adj.
اړینتیا	non_verb	n. f.
اړینه	non_verb	adj.
از	non_verb	pref.
ازاد	non_verb	adj.
ازادانه	regular_simple	adv.
ازادي	non_verb	n. f.
ازار	non_verb	n. m.
ازارول	regular_simple	v. stat. comp. trans.
ازارېدل	stative_compound_standard	v. stat. comp. intrans.
ازانګه	non_verb	n. f.
ازانګه کول	dynamic_compound	v. dyn. comp. trans.
ازبک	non_verb	n. m. anim. unisex / adj.
ازبکستان	non_verb	n. m.
ازدواج	non_verb	n. m.
ازغکی	non_verb	n. m.
ازغن	non_verb	adj.
ازغن تار	non_verb	n. m.
ازغی	non_verb	n. m.
ازل	non_verb	n. m.
ازل لیک	non_verb	n. m.
ازلي	non_verb	adj.
ازمایښت	non_verb	n. m.
ازمایل	regular_simple	v. trans.
ازماینه	non_verb	n. f.
ازمری	non_verb	n. m. anim. unisex
ازمویل	regular_simple	v. trans.
ازموینه	non_verb	n. f.
ازمیښت	non_verb	n. m.
ازمېښت	non_verb	n. m.
ازمیښت کول	dynamic_compound	v. stat. comp. trans.
ازمیښت کېدل	stative_compound_special	v. stat. comp. intrans.
ازوتي	non_verb	n. f.
اژانس	non_verb	n. m.
اږیل	regular_simple	v. trans.
اس	non_verb	n. m.
اسار	non_verb	n. m. anim. unisex
اسارت	non_verb	n. m.
اساس	non_verb	n. m.
اساساً	regular_simple	adv.
اساسي	non_verb	adj.
اساسي قانون	non_verb	n. m.
اساطیر	non_verb	n. m.
اساطیري	non_verb	adj.
اسان	non_verb	adj.
اسانتوب	non_verb	n. m.
اسانتیا	non_verb	n. f.
