lemma,family,rationale,irregular_by_engine,imperfective_stem,perfective_stem,imperfective_root,perfective_root,verified_via
تربت کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترجمه کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترخېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تردیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترسره کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترسیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترمیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترهېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترورېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
ترکېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تزنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تس نس کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تسخیر کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تسلیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تسکین کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تشخیصېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تشېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تصدیق کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تطبیقېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تعبیرېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تعذیبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تعقیبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تعمیم کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تقسیمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تلافي کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تمامېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تمبېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تمدیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تمېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تندېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تنګېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
توانېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
توبه ایستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
توبه ویستل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تودېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تورنېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
توقیفېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تولیدېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
توهینېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تویېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تړپېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تږی کېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
تښتېدل,potential_irregular,ending heuristic (یل/ېدل/ستل),False,,,,,none
