translation,book,chapter,verse,file_id,file_name
yousafzai,Zechariah,10,1,1sUecHY1Q2FRguN7TNzCqru6qCNVUovAY,"yousafzai_zechariah010_verse_001.mp3"
yousafzai,Zechariah,8,12,12y1Vd5LCw-9wIJ7zeSvmQj6HbYxp7mce,"yousafzai_zechariah008_verse_012.mp3"
yousafzai,Zechariah,10,11,1ghZWioQt0Wd8eFFCGZh3jwVV1G92tJJ1,"yousafzai_zechariah010_verse_011.mp3"
yousafzai,Zechariah,10,5,1UMTiD6JDFzjMrTL813V3MvCrw053Hx3K,"yousafzai_zechariah010_verse_005.mp3"
yousafzai,Zechariah,8,10,1QDQvuveH4ncWGxUlKysess9mj0SpE371,"yousafzai_zechariah008_verse_010.mp3"
yousafzai,Zechariah,8,6,1ommO1ASw8JkCmf-dsqMeNpjeTpBR50VI,"yousafzai_zechariah008_verse_006.mp3"
yousafzai,Zechariah,10,4,18fhOBzYY7w5wbrh7sc4qnkYj4Ds7PH_6,"yousafzai_zechariah010_verse_004.mp3"
yousafzai,Zechariah,8,4,1OozzyJLkWsRgo1locM3toaz_jBboIneS,"yousafzai_zechariah008_verse_004.mp3"
yousafzai,Zechariah,10,10,1I9Oqntbds2BiEpnnoy-IiHHboQZXp1Cm,"yousafzai_zechariah010_verse_010.mp3"
yousafzai,Zechariah,10,6,1SYpTHrEHsAe-0inp38of4mJ6bURTELev,"yousafzai_zechariah010_verse_006.mp3"
yousafzai,Zechariah,10,12,18UINGfVmNMkUzI_j93KIQFlAI96pf_wQ,"yousafzai_zechariah010_verse_012.mp3"
yousafzai,Zechariah,8,5,1s_uyVqU0dMOmvEQYSbV8HFcGpYyR5iZ4,"yousafzai_zechariah008_verse_005.mp3"
yousafzai,Zechariah,10,7,1hX-dw2_AQLVjfS57Prg6vUc5FzTOj0YB,"yousafzai_zechariah010_verse_007.mp3"
yousafzai,Zechariah,8,11,18oDKA2pgQIvnFdcxJ4AgsYUzS7jPVaI5,"yousafzai_zechariah008_verse_011.mp3"
yousafzai,Zechariah,12,8,1-OozmeD4yip6UYZRg1pw1BExLBi3bXJB,"yousafzai_zechariah012_verse_008.mp3"
yousafzai,Zechariah,10,9,1VdARk8x-cQBvz5AB2JIGrVMNxb2z9yHy,"yousafzai_zechariah010_verse_009.mp3"
yousafzai,Zechariah,12,9,1Wk8qUZrRhG2-J47F9gmqDcqSE8JIK53u,"yousafzai_zechariah012_verse_009.mp3"
yousafzai,Zechariah,10,8,1bkpYXA1oQwDP3EKlLLhe3sGt7oQYEmMq,"yousafzai_zechariah010_verse_008.mp3"
